,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_movie_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,movie_score,aspect_ratio,movie_facebook_likes,profit
2988,Color,Joon-ho Bong,363.0,110.0,584.0,74.0,Kang-ho Song,629.0,2201412.0,Comedy|Drama|Horror|Sci-Fi,Doona Bae,The Host ,68883,1173,Ah-sung Ko,0.0,daughter|han river|monster|river|seoul,http://www.movie.com/title/tt0468492/?ref_=fn_tt_tt_1,279.0,Korean,South Korea,R,12215500000.0,2006.0,398.0,7.0,1.85,7000,-12213298588.0
3859,Color,Chan-wook Park,202.0,112.0,0.0,38.0,Yeong-ae Lee,717.0,211667.0,Crime|Drama,Min-sik Choi,Lady Vengeance ,53508,907,Hye-jeong Kang,0.0,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,http://www.movie.com/title/tt0451094/?ref_=fn_tt_tt_1,131.0,Korean,South Korea,R,4200000000.0,2005.0,126.0,7.7,2.35,4000,-4199788333.0
3005,Color,Lajos Koltai,73.0,134.0,45.0,0.0,Péter Fancsikai,9.0,195888.0,Drama|Romance|War,Marcell Nagy,Fateless ,5603,11,Bálint Péntek,0.0,bus|death|gay slur|hatred|jewish,http://www.movie.com/title/tt0367082/?ref_=fn_tt_tt_1,45.0,Hungarian,Hungary,R,2500000000.0,2005.0,2.0,7.1,2.35,607,-2499804112.0
2323,Color,Hayao Miyazaki,174.0,134.0,6000.0,745.0,Jada Pinkett Smith,893.0,2298191.0,Adventure|Animation|Fantasy,Minnie Driver,Princess Mononoke ,221552,2710,Billy Crudup,0.0,anime|cult film|forest|princess|studio ghibli,http://www.movie.com/title/tt0119698/?ref_=fn_tt_tt_1,570.0,Japanese,Japan,PG-13,2400000000.0,1997.0,851.0,8.4,1.85,11000,-2397701809.0
2334,Color,Katsuhiro Ôtomo,105.0,103.0,78.0,101.0,Robin Atkin Downes,488.0,410388.0,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,Steamboy ,13727,991,Rosalind Ayres,1.0,19th century|ball|boy|inventor|steam,http://www.movie.com/title/tt0348121/?ref_=fn_tt_tt_1,79.0,Japanese,Japan,PG-13,2127519898.0,2004.0,336.0,6.9,1.85,973,-2127109510.0
3423,Color,Katsuhiro Ôtomo,150.0,124.0,78.0,4.0,Takeshi Kusao,6.0,439162.0,Action|Animation|Sci-Fi,Mitsuo Iwata,Akira ,106160,28,Tesshô Genda,0.0,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,http://www.movie.com/title/tt0094625/?ref_=fn_tt_tt_1,430.0,Japanese,Japan,R,1100000000.0,1988.0,5.0,8.1,1.85,0,-1099560838.0
4542,Color,Takao Okawara,107.0,99.0,2.0,3.0,Naomi Nishida,43.0,10037390.0,Action|Adventure|Drama|Sci-Fi|Thriller,Hiroshi Abe,Godzilla 2000 ,5442,53,Sakae Kimura,0.0,godzilla|kaiju|monster|orga|ufo,http://www.movie.com/title/tt0188640/?ref_=fn_tt_tt_1,140.0,Japanese,Japan,PG,1000000000.0,1999.0,3.0,6.0,2.35,339,-989962610.0
3851,Color,Carlos Saura,35.0,115.0,98.0,4.0,Juan Luis Galiardo,341.0,1687311.0,Drama|Musical,Mía Maestro,Tango ,2412,371,Miguel Ángel Solá,3.0,dancer|director|love|musical filmmaking|tango,http://www.movie.com/title/tt0120274/?ref_=fn_tt_tt_1,40.0,Spanish,Spain,PG-13,700000000.0,1998.0,26.0,7.2,2.0,539,-698312689.0
3075,Color,Karan Johar,20.0,193.0,160.0,860.0,John Abraham,8000.0,3275443.0,Drama,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,13998,10822,Preity Zinta,2.0,extramarital affair|fashion magazine editor|marriage|new york|teacher,http://www.movie.com/title/tt0449999/?ref_=fn_tt_tt_1,264.0,Hindi,India,R,700000000.0,2006.0,1000.0,6.0,2.35,659,-696724557.0
3273,Color,Anurag Basu,41.0,90.0,116.0,303.0,Steven Michael Quezada,594.0,1602466.0,Action|Drama|Romance|Thriller,Bárbara Mori,Kites ,9673,1836,Kabir Bedi,0.0,casino|desert|love|suicide|tragic event,http://www.movie.com/title/tt1198101/?ref_=fn_tt_tt_1,106.0,English,India,,600000000.0,2010.0,412.0,6.0,,0,-598397534.0
