,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_movie_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,movie_score,aspect_ratio,movie_facebook_likes,profit
72,Color,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2.0,army|china|emperor|mummy|shangri la,http://www.movie.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,USA,PG-13,145000000.0,2008.0,3000.0,5.2,2.35,0,-42823835.0
134,Color,Tim Burton,526.0,113.0,13000.0,16000.0,Chloë Grace Moretz,40000.0,79711678.0,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,199039,80849,Christopher Lee,7.0,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.movie.com/title/tt1077368/?ref_=fn_tt_tt_1,479.0,English,USA,PG-13,100000000.0,2012.0,17000.0,6.2,1.85,82000,-20288322.0
136,Color,Joe Johnston,357.0,119.0,394.0,162.0,Simon Merrells,12000.0,61937495.0,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,The Wolfman ,89442,13071,Art Malik,0.0,asylum|death|full moon|transformation|werewolf,http://www.movie.com/title/tt0780653/?ref_=fn_tt_tt_1,432.0,English,USA,R,150000000.0,2010.0,490.0,5.8,1.85,0,-88062505.0
306,Color,Peter Hyams,174.0,121.0,0.0,595.0,Mark Margolis,1000.0,66862068.0,Action|Fantasy|Horror|Mystery,CCH Pounder,End of Days ,89509,3903,Udo Kier,0.0,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.movie.com/title/tt0146675/?ref_=fn_tt_tt_1,524.0,English,USA,R,83000000.0,1999.0,1000.0,5.7,2.35,2000,-16137932.0
374,Color,Rob Minkoff,122.0,88.0,50.0,441.0,Rachael Harris,691.0,75817994.0,Comedy|Family|Fantasy|Horror|Mystery,Marsha Thomason,The Haunted Mansion ,32049,2622,Marc John Jefferies,0.0,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,http://www.movie.com/title/tt0338094/?ref_=fn_tt_tt_1,179.0,English,USA,PG,90000000.0,2003.0,569.0,4.9,2.35,988,-14182006.0
376,Color,Paul Verhoeven,180.0,119.0,719.0,423.0,Kim Dickens,833.0,73209340.0,Action|Horror|Sci-Fi|Thriller,Greg Grunberg,Hollow Man ,101834,2356,Joey Slotnick,0.0,experiment|research|scientist|suburb|surrealism,http://www.movie.com/title/tt0164052/?ref_=fn_tt_tt_1,628.0,English,USA,R,95000000.0,2000.0,624.0,5.7,1.85,0,-21790660.0
433,Color,Guillermo del Toro,345.0,120.0,0.0,160.0,Iván Kamarás,3000.0,75754670.0,Action|Adventure|Fantasy|Horror|Sci-Fi,Seth MacFarlane,Hellboy II: The Golden Army ,208422,3632,Brian Steele,0.0,creature|elf|prince|rebellion|superhero,http://www.movie.com/title/tt0411477/?ref_=fn_tt_tt_1,342.0,English,USA,PG-13,85000000.0,2008.0,169.0,7.0,1.85,3000,-9245330.0
505,Color,Peter Hyams,113.0,102.0,0.0,212.0,Catherine McCormack,1000.0,1891821.0,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,16474,1890,Jemima Rooper,0.0,butterfly|hunter|time|time travel|wave,http://www.movie.com/title/tt0318081/?ref_=fn_tt_tt_1,301.0,English,UK,PG-13,52000000.0,2005.0,307.0,4.2,2.35,785,-50108179.0
532,Color,Renny Harlin,167.0,125.0,212.0,394.0,Alan Ford,613.0,41814863.0,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,28635,1970,Izabella Scorupco,0.0,archeologist|church|excavation|faith|relic,http://www.movie.com/title/tt0204313/?ref_=fn_tt_tt_1,308.0,English,USA,R,50000000.0,2004.0,422.0,5.1,2.0,893,-8185137.0
603,Color,Mike Nichols,59.0,125.0,0.0,184.0,Peter Gerety,443.0,65012000.0,Drama|Horror|Romance|Thriller,David Hyde Pierce,Wolf ,43559,1439,Ron Rifkin,1.0,blood|publisher|publishing house|werewolf|wolf,http://www.movie.com/title/tt0111742/?ref_=fn_tt_tt_1,137.0,English,USA,R,70000000.0,1994.0,277.0,6.2,1.85,0,-4988000.0
608,Color,Gary Shore,261.0,92.0,28.0,423.0,Sarah Gadon,3000.0,55942830.0,Action|Drama|Fantasy|Horror|War,Dominic Cooper,Dracula Untold ,138582,5178,Zach McGowan,1.0,death of wife|dracula|tarantula|turk|vampire,http://www.movie.com/title/tt0829150/?ref_=fn_tt_tt_1,423.0,English,USA,PG-13,70000000.0,2014.0,692.0,6.3,2.35,37000,-14057170.0
614,Color,Andrzej Bartkowiak,237.0,113.0,43.0,452.0,Ben Daniels,12000.0,28031250.0,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,Doom ,88146,13517,Dexter Fletcher,0.0,commando unit|extra chromosome|first person shooter|special forces|teleportation,http://www.movie.com/title/tt0419706/?ref_=fn_tt_tt_1,814.0,English,UK,R,60000000.0,2005.0,585.0,5.2,2.35,0,-31968750.0
616,Color,Måns Mårlind,242.0,88.0,24.0,324.0,Stephen Rea,5000.0,62321039.0,Action|Fantasy|Horror,Theo James,Underworld: Awakening ,117096,5861,Sandrine Holt,1.0,battle|cryogenics|detective|scientist|vampire,http://www.movie.com/title/tt1496025/?ref_=fn_tt_tt_1,271.0,English,USA,R,70000000.0,2012.0,327.0,6.4,2.35,24000,-7678961.0
643,Color,Timur Bekmambetov,393.0,105.0,335.0,911.0,Dominic Cooper,3000.0,37516013.0,Action|Fantasy|Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter ,128629,8281,Benjamin Walker,0.0,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,http://www.movie.com/title/tt1611224/?ref_=fn_tt_tt_1,348.0,English,USA,R,69000000.0,2012.0,3000.0,5.9,2.35,98000,-31483987.0
